author,author1,edition_year,name,price,publisher,ratings
（美）鲁思・本尼迪克特,吕万和,1990-6,菊与刀,16.00,商务印书馆,8.2
张爱玲,,2006-12,倾城之恋,29.80元,北京十月文艺出版社,8.7
[英]毛姆,周煦良,2007-3,刀锋,18.00元,上海译文出版社,9.0
刘慈欣,,2005-6,球状闪电,22.00元,四川科学技术出版社,8.7
[美] 斯宾塞·约翰逊,吴立俊,2001-9,谁动了我的奶酪？,16.80元,中信出版社,7.1
[印] 罗宾德拉纳德·泰戈尔,徐翰林,2004-6,飞鸟集,16.80元,哈尔滨出版社,8.8
沧月,,2006-10,七夜雪,25.00元,北京十月文艺出版社,8.4
舒仪,,2009-3,曾有一个人，爱我如生命,23.80,中国画报出版社,7.5
九把刀,,2007-1,那些年，我们一起追的女孩,20.00元,花山文艺出版社,8.2
[日] 川端康成,叶渭渠,2002-2,伊豆的舞女,23.80元,广西师范大学出版社,8.2
[日] 村上春树,林少华,2002-12,世界尽头与冷酷仙境,23.00元,上海译文出版社,8.6
[英] 奥斯丁,王科一,1996-12,傲慢与偏见,11.00元,上海译文出版社,9.0
[英] 伊恩·麦克尤恩,潘帕,2010-2,最初的爱情 最后的仪式,22.00元,南京大学出版社,8.0
天下霸唱,,2006-11,鬼吹灯之云南虫谷,26.80元,安徽文艺出版社,8.0
当年明月,,2009-4,明朝那些事儿（柒）：大结局,29.80元,中国海关出版社,8.9
李笑来,,2009-6,把时间当作朋友,32.00元,电子工业出版社,8.5
[澳] 朗达·拜恩,谢明宪,2008-11,秘密,32.00,中国城市出版社,7.3
[美] 丹.布朗,朱振武,2005-2,天使与魔鬼,29.80元,人民文学出版社,8.2
古典,,2010-9,拆掉思维里的墙,29.80元,中国书店,7.9
当年明月,,2008-11,明朝那些事儿（陆）,28.80,中国海关出版社,8.8
李海鹏,,2010-6,佛祖在一号线,25.00元,文化艺术出版社,8.2
金庸,,1999-04,倚天屠龙记(共四册),0,三联书店,8.5
hans,,2009-1,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,9.0
李可,,2009-1,杜拉拉2华年似水,28.00,陕西师范大学出版社,7.3
落落,,2007-12,不朽,22.00,长江文艺出版社,7.6
张嘉佳,,2013-11-1,从你的全世界路过,CNY 39.80,湖南文艺出版社,7.1
郭敬明,,2007-5,悲伤逆流成河,24.00元,长江文艺出版社,6.2
[日] 东野圭吾,娄美莲,2009-6,恶意,18.00,南海出版公司,8.4
金庸,有1996年11月北平第4次印刷本,1994-5,天龙八部,96.0,生活.读书.新知三联书店,9.1
[日]东野圭吾,赵峻,2010-1,放学后,20.00元,南海出版公司,7.6
J.K.Rowling,,2007-7-21,Harry Potter and the Deathly Hallows,34.99美元,Arthur A. Levine Books,8.9
韩寒,,2004-8,长安乱,20.00元,中国青年出版社,7.4
[英] J. K. 罗琳,马爱农,2005-10,哈利·波特与混血王子,58.00元,人民文学出版社,8.8
[日] 青山七惠,竺家荣,2007-9,一个人的好天气,15.00元,上海译文出版社,7.6
（挪威）乔斯坦·贾德,萧宝森,1999-04,苏菲的世界,26.80元,作家出版社,8.5
余华,,1998-9,许三观卖血记,16.80元,南海出版公司,8.7
郭敬明,,2005-2,1995-2005夏至未至,24.00元,春风文艺出版社,7.3
三毛,,1976,撒哈拉的故事,160 TWD,皇冠出版社,9.0
南派三叔,,2007-1,盗墓笔记,26.80元,中国友谊出版公司,8.3
[哥伦比亚] 加西亚·马尔克斯,杨玲,2012-9-1,霍乱时期的爱情,39.50元,南海出版公司,9.0
[英] J. K. 罗琳,马爱农,2003-9,哈利·波特与凤凰社,59.00元,人民文学出版社,8.7
亦舒,,2007-2,喜宝,22.00元,新世界出版社,8.0
[美] 加·泽文,孙仲旭,2015-5-1,岛上书店,CNY 35.00,江苏凤凰文艺出版社,7.6
唐七公子,,2009-1,三生三世 十里桃花,26.80,沈阳出版社,7.9
[日] 村上春树,林少华,2003-4,海边的卡夫卡,25.00元,上海译文出版社,8.1
余秋雨,,2001-4,文化苦旅,22.00元,东方出版中心,7.7
大仲马,周克希,1991-12-1,基督山伯爵,43.90元,上海译文出版社,9.0
[日] 黑柳彻子 著,赵玉皎,2003-1,窗边的小豆豆,20.00元,南海出版公司,8.7
